weight,age,height,size
65,25.0,165.1,XXXL
63,45.0,157.48,L
63,28.0,167.64,S
56,26.0,170.18,S
65,32.0,165.1,L
56,33.0,165.1,S
53,34.0,165.1,S
56,25.0,160.02,S
79,37.0,167.64,XXXL
61,30.0,162.56,L
54,28.0,162.56,S
77,40.0,190.5,XXXL
53,31.0,165.1,S
56,33.0,170.18,S
62,26.0,165.1,S
68,58.0,170.18,XXXL
68,41.0,175.26,L
56,26.0,165.1,L
58,26.0,162.56,L
58,30.0,170.18,L
74,64.0,172.72,XXXL
53,36.0,152.4,S
61,33.0,177.8,S
86,35.0,162.56,XXXL
63,63.0,154.94,XXXL
63,48.0,170.18,L
63,38.0,167.64,L
62,28.0,172.72,L
72,35.0,177.8,L
68,35.0,162.56,L
56,28.0,162.56,S
52,22.0,162.56,S
50,27.0,157.48,S
56,25.0,165.1,S
65,41.0,165.1,XXXL
58,33.0,175.26,S
86,33.0,177.8,XXXL
70,34.0,160.02,XXXL
65,24.0,167.64,L
56,30.0,162.56,S
50,32.0,157.48,S
54,26.0,162.56,S
88,38.0,177.8,XXXL
54,27.0,154.94,S
60,30.0,172.72,S
52,32.0,162.56,S
72,47.0,172.72,XXXL
81,30.0,170.18,XXXL
58,40.0,170.18,L
79,34.0,172.72,XXXL
68,27.0,175.26,L
63,45.0,160.02,XXXL
71,44.0,170.18,XXXL
72,30.0,170.18,XXXL
47,33.0,154.94,S
60,20.0,172.72,L
52,29.0,160.02,S
63,47.0,165.1,XXXL
52,45.0,160.02,L
70,34.0,172.72,L
52,39.0,165.1,S
61,32.0,170.18,L
58,29.0,177.8,S
53,30.0,154.94,L
83,32.0,167.64,XXXL
68,31.0,170.18,L
79,28.0,177.8,XXXL
58,29.0,162.56,L
56,25.0,154.94,S
61,33.0,162.56,L
51,35.0,162.56,S
66,47.0,172.72,L
68,37.0,177.8,XXXL
61,31.0,170.18,L
90,36.0,175.26,XXXL
53,53.0,162.56,S
63,25.0,167.64,S
58,40.0,175.26,S
61,31.0,167.64,L
56,36.0,175.26,S
79,44.0,167.64,XXXL
104,34.0,154.94,XXXL
56,43.0,157.48,L
54,38.0,157.48,S
54,30.0,160.02,S
63,35.0,175.26,L
65,29.0,172.72,L
67,50.0,175.26,XXXL
57,32.0,165.1,S
65,25.0,162.56,XXXL
63,22.0,167.64,L
65,36.0,162.56,XXXL
48,26.0,162.56,S
55,44.0,162.56,S
90,40.0,175.26,XXXL
72,26.0,182.88,XXXL
70,37.0,167.64,L
88,38.0,175.26,XXXL
54,28.0,157.48,S
74,36.0,177.8,XXXL
65,40.0,167.64,L
56,41.0,154.94,L
71,32.0,175.26,XXXL
56,31.0,170.18,S
58,58.0,167.64,L
77,31.0,165.1,XXXL
54,28.0,170.18,S
60,30.0,172.72,S
50,28.0,165.1,S
72,53.0,160.02,XXXL
59,47.0,165.1,L
56,31.0,170.18,S
56,31.0,170.18,S
63,28.0,162.56,XXXL
62,31.0,170.18,XXXL
61,35.0,170.18,S
74,31.0,154.94,XXXL
68,27.0,165.1,XXXL
95,44.0,157.48,XXXL
54,34.0,165.1,S
79,47.0,175.26,XXXL
81,38.0,170.18,XXXL
60,56.0,170.18,L
56,30.0,165.1,S
54,29.0,162.56,S
47,34.0,154.94,S
68,24.0,167.64,L
48,37.0,154.94,S
61,36.0,170.18,L
65,53.0,172.72,L
52,30.0,160.02,S
54,49.0,154.94,S
70,54.0,162.56,XXXL
81,32.0,170.18,XXXL
53,32.0,157.48,S
43,28.0,152.4,S
99,35.0,165.1,XXXL
65,25.0,167.64,L
58,31.0,165.1,S
53,43.0,157.48,S
54,26.0,162.56,S
63,55.0,167.64,L
87,29.0,175.26,XXXL
54,30.0,167.64,S
56,28.0,152.4,S
81,47.0,167.64,XXXL
59,31.0,175.26,S
51,22.0,152.4,S
58,29.0,172.72,L
70,37.0,177.8,XXXL
61,59.0,162.56,XXXL
68,32.0,175.26,S
49,33.0,160.02,S
49,35.0,157.48,S
53,32.0,175.26,S
52,45.0,160.02,S
72,33.0,165.1,XXXL
90,46.0,167.64,XXXL
61,39.0,154.94,L
79,39.0,167.64,XXXL
60,26.0,170.18,XXXL
54,35.0,165.1,S
58,30.0,162.56,L
55,26.0,172.72,S
71,39.0,160.02,XXXL
51,27.0,160.02,S
93,35.0,172.72,XXXL
61,34.0,165.1,L
54,40.0,162.56,S
68,42.0,167.64,XXXL
90,52.0,162.56,XXXL
74,27.0,167.64,XXXL
56,47.0,162.56,L
58,20.0,165.1,S
74,37.0,167.64,XXXL
52,41.0,154.94,S
65,33.0,165.1,XXXL
77,34.0,160.02,XXXL
72,38.0,170.18,XXXL
68,31.0,162.56,L
61,28.0,170.18,L
58,56.0,165.1,L
63,30.0,162.56,L
68,39.0,157.48,XXXL
52,30.0,162.56,S
58,32.0,165.1,S
65,32.0,170.18,L
54,43.0,162.56,S
54,37.0,162.56,S
74,22.0,162.56,XXXL
54,29.0,177.8,S
48,34.0,157.48,S
66,42.0,154.94,XXXL
79,28.0,160.02,XXXL
61,31.0,160.02,L
70,32.0,170.18,L
50,32.0,165.1,S
65,27.0,157.48,L
77,25.0,175.26,XXXL
52,30.0,154.94,S
102,37.0,170.18,XXXL
58,29.0,160.02,L
70,32.0,175.26,L
54,21.0,167.64,S
58,32.0,160.02,L
74,33.0,167.64,XXXL
58,28.0,170.18,L
54,35.0,160.02,S
65,62.0,165.1,XXXL
82,35.0,162.56,XXXL
68,48.0,165.1,XXXL
74,36.0,162.56,XXXL
52,20.0,165.1,S
89,41.0,170.18,XXXL
72,36.0,160.02,XXXL
70,32.0,165.1,XXXL
68,39.0,167.64,L
54,44.0,157.48,S
55,49.0,162.56,S
86,34.0,177.8,XXXL
86,29.0,172.72,XXXL
63,30.0,160.02,S
58,47.0,160.02,L
53,45.0,175.26,S
68,32.0,170.18,XXXL
53,33.0,167.64,S
81,49.0,162.56,XXXL
79,27.0,167.64,XXXL
49,31.0,154.94,S
63,25.0,162.56,L
53,31.0,157.48,S
70,44.0,167.64,XXXL
59,40.0,167.64,S
49,41.0,157.48,S
57,36.0,165.1,S
58,28.0,170.18,S
74,31.0,157.48,XXXL
51,42.0,157.48,S
65,30.0,167.64,L
58,26.0,175.26,S
52,42.0,167.64,S
55,45.0,162.56,S
68,27.0,172.72,XXXL
54,36.0,170.18,L
54,22.0,162.56,S
65,27.0,170.18,L
63,33.0,165.1,L
58,35.0,162.56,S
72,23.0,180.34,XXXL
49,58.0,162.56,S
52,38.0,170.18,S
68,28.0,170.18,L
86,34.0,165.1,XXXL
63,32.0,162.56,L
90,26.0,162.56,XXXL
81,57.0,167.64,XXXL
50,22.0,167.64,S
90,38.0,170.18,XXXL
62,39.0,162.56,L
72,33.0,170.18,XXXL
63,30.0,165.1,L
54,20.0,172.72,S
72,35.0,154.94,XXXL
58,26.0,162.56,S
57,26.0,167.64,S
63,47.0,167.64,L
52,26.0,170.18,S
72,39.0,157.48,XXXL
53,36.0,162.56,S
61,29.0,162.56,L
58,35.0,172.72,S
112,51.0,162.56,XXXL
68,35.0,172.72,L
70,29.0,170.18,L
69,44.0,170.18,XXXL
104,53.0,167.64,XXXL
54,30.0,162.56,S
79,33.0,170.18,XXXL
54,29.0,170.18,S
52,29.0,165.1,S
72,31.0,162.56,XXXL
65,34.0,157.48,L
53,31.0,170.18,S
59,22.0,170.18,S
97,25.0,162.56,XXXL
61,35.0,172.72,L
54,40.0,162.56,S
58,20.0,165.1,S
92,28.0,187.96,XXXL
83,41.0,170.18,XXXL
56,33.0,165.1,S
50,28.0,157.48,S
53,40.0,160.02,S
63,32.0,160.02,L
63,27.0,167.64,L
52,42.0,157.48,S
54,28.0,170.18,S
72,28.0,157.48,XXXL
55,25.0,167.64,S
68,33.0,160.02,XXXL
56,41.0,154.94,L
73,40.0,182.88,XXXL
52,22.0,152.4,S
56,34.0,172.72,S
77,26.0,172.72,XXXL
58,33.0,170.18,S
62,33.0,154.94,L
58,30.0,167.64,S
74,31.0,167.64,XXXL
81,50.0,167.64,XXXL
53,35.0,160.02,S
65,32.0,157.48,XXXL
58,30.0,172.72,L
56,32.0,167.64,S
72,34.0,175.26,XXXL
70,34.0,165.1,L
65,41.0,180.34,L
65,31.0,167.64,L
70,56.0,157.48,XXXL
52,28.0,172.72,S
63,41.0,172.72,L
74,55.0,180.34,XXXL
90,55.0,157.48,XXXL
71,33.0,180.34,XXXL
60,42.0,172.72,L
81,31.0,162.56,XXXL
88,41.0,172.72,XXXL
60,29.0,165.1,L
58,35.0,177.8,S
68,49.0,165.1,XXXL
72,33.0,165.1,XXXL
63,34.0,152.4,L
77,57.0,160.02,XXXL
63,62.0,165.1,L
62,33.0,160.02,L
56,66.0,160.02,L
56,62.0,162.56,XXXL
68,32.0,162.56,XXXL
79,30.0,177.8,L
73,49.0,177.8,XXXL
65,29.0,160.02,XXXL
65,32.0,162.56,XXXL
54,24.0,152.4,L
74,29.0,170.18,XXXL
81,33.0,165.1,XXXL
108,42.0,165.1,XXXL
52,21.0,157.48,S
56,36.0,157.48,S
86,37.0,175.26,XXXL
65,38.0,154.94,XXXL
90,49.0,170.18,XXXL
55,41.0,170.18,L
58,38.0,160.02,L
68,39.0,152.4,XXXL
54,27.0,165.1,S
72,21.0,175.26,L
69,36.0,160.02,XXXL
62,28.0,167.64,L
44,17.0,157.48,S
53,58.0,157.48,S
81,33.0,157.48,XXXL
74,29.0,165.1,XXXL
62,42.0,177.8,L
58,34.0,157.48,L
58,34.0,165.1,L
77,35.0,170.18,XXXL
90,27.0,170.18,XXXL
68,28.0,170.18,L
53,31.0,157.48,S
49,29.0,167.64,S
63,29.0,170.18,L
83,35.0,177.8,XXXL
61,27.0,157.48,S
74,52.0,162.56,XXXL
58,37.0,172.72,S
47,25.0,157.48,S
48,34.0,154.94,S
54,32.0,167.64,S
58,26.0,175.26,S
68,28.0,167.64,L
68,46.0,162.56,XXXL
58,39.0,170.18,S
52,21.0,165.1,S
63,28.0,170.18,L
58,27.0,160.02,L
63,35.0,165.1,L
52,20.0,160.02,S
61,30.0,167.64,L
69,28.0,177.8,L
53,36.0,165.1,S
54,29.0,165.1,S
79,50.0,177.8,XXXL
65,28.0,157.48,XXXL
54,32.0,172.72,S
91,28.0,175.26,XXXL
65,30.0,172.72,XXXL
47,30.0,152.4,S
48,39.0,149.86,S
65,50.0,167.64,XXXL
99,36.0,165.1,XXXL
70,50.0,167.64,XXXL
61,24.0,160.02,XXXL
65,29.0,157.48,XXXL
65,29.0,165.1,L
72,35.0,162.56,XXXL
61,50.0,170.18,L
65,45.0,172.72,L
49,46.0,157.48,S
97,35.0,154.94,XXXL
70,29.0,165.1,L
69,42.0,167.64,XXXL
58,33.0,170.18,S
52,42.0,165.1,S
61,58.0,157.48,L
52,35.0,160.02,S
77,34.0,177.8,XXXL
71,43.0,167.64,XXXL
43,34.0,157.48,S
79,32.0,157.48,XXXL
58,21.0,165.1,S
58,32.0,175.26,S
70,58.0,172.72,XXXL
58,38.0,165.1,L
56,31.0,162.56,S
65,46.0,172.72,L
61,29.0,152.4,L
83,42.0,167.64,XXXL
62,42.0,177.8,L
77,22.0,177.8,XXXL
65,22.0,167.64,L
95,29.0,170.18,XXXL
70,41.0,167.64,S
49,29.0,160.02,S
52,26.0,170.18,S
65,26.0,167.64,L
65,65.0,162.56,XXXL
59,54.0,162.56,S
63,32.0,177.8,S
74,33.0,177.8,XXXL
81,57.0,172.72,XXXL
52,50.0,162.56,S
54,33.0,170.18,S
63,33.0,162.56,L
49,24.0,154.94,S
53,32.0,170.18,S
54,39.0,154.94,S
72,29.0,160.02,L
72,32.0,160.02,XXXL
79,39.0,167.64,XXXL
54,44.0,170.18,S
58,25.0,160.02,XXXL
77,29.0,165.1,XXXL
61,38.0,154.94,L
56,31.0,165.1,S
54,35.0,162.56,S
58,34.0,167.64,S
58,27.0,157.48,S
58,50.0,162.56,L
54,54.0,157.48,S
47,25.0,157.48,L
64,34.0,170.18,L
56,32.0,165.1,L
47,35.0,160.02,S
70,48.0,170.18,XXXL
70,50.0,175.26,XXXL
64,48.0,167.64,L
77,54.0,175.26,XXXL
52,26.0,160.02,S
61,35.0,177.8,L
63,34.0,172.72,L
70,30.0,157.48,XXXL
68,43.0,170.18,XXXL
58,30.0,162.56,L
70,52.0,152.4,XXXL
54,28.0,162.56,L
67,25.0,165.1,L
61,30.0,165.1,L
61,24.0,160.02,S
77,46.0,167.64,XXXL
51,29.0,165.1,S
70,31.0,162.56,L
49,28.0,167.64,S
56,28.0,160.02,S
83,31.0,157.48,XXXL
62,32.0,157.48,L
51,34.0,157.48,S
56,24.0,170.18,S
65,33.0,170.18,L
81,36.0,167.64,XXXL
57,36.0,165.1,L
52,46.0,167.64,S
63,37.0,167.64,L
54,30.0,167.64,S
47,33.0,154.94,S
52,47.0,165.1,S
77,33.0,172.72,XXXL
54,24.0,167.64,S
74,48.0,162.56,XXXL
86,61.0,172.72,XXXL
74,46.0,172.72,XXXL
57,30.0,165.1,S
60,35.0,157.48,XXXL
74,35.0,167.64,XXXL
72,29.0,154.94,XXXL
65,28.0,175.26,L
48,32.0,152.4,S
64,1.0,162.56,L
54,36.0,167.64,S
54,29.0,154.94,S
49,29.0,162.56,S
56,30.0,152.4,L
54,67.0,167.64,L
83,63.0,175.26,XXXL
72,40.0,177.8,XXXL
47,36.0,154.94,S
81,56.0,154.94,XXXL
63,47.0,172.72,L
54,31.0,157.48,S
63,27.0,165.1,L
56,36.0,165.1,S
68,33.0,175.26,XXXL
58,37.0,170.18,S
81,34.0,165.1,XXXL
60,41.0,175.26,S
77,32.0,162.56,XXXL
60,28.0,162.56,L
61,26.0,167.64,L
49,30.0,162.56,S
52,37.0,162.56,S
85,35.0,152.4,XXXL
57,68.0,160.02,XXXL
63,29.0,162.56,L
54,18.0,165.1,S
62,40.0,162.56,L
49,33.0,154.94,S
72,28.0,172.72,XXXL
56,32.0,165.1,S
53,32.0,170.18,S
63,31.0,172.72,L
99,29.0,172.72,XXXL
61,26.0,165.1,L
99,29.0,172.72,XXXL
56,33.0,160.02,S
86,34.0,165.1,XXXL
92,36.0,152.4,XXXL
70,27.0,177.8,L
60,25.0,157.48,L
79,31.0,170.18,XXXL
57,29.0,154.94,S
77,26.0,175.26,XXXL
45,41.0,152.4,S
51,54.0,157.48,S
57,26.0,170.18,S
58,33.0,172.72,S
95,30.0,165.1,XXXL
52,51.0,165.1,S
77,35.0,160.02,XXXL
63,33.0,165.1,L
61,33.0,175.26,S
95,28.0,172.72,XXXL
62,35.0,160.02,L
79,66.0,162.56,XXXL
95,24.0,175.26,XXXL
61,35.0,160.02,L
99,33.0,172.72,XXXL
95,51.0,180.34,XXXL
52,32.0,165.1,S
63,27.0,167.64,L
62,37.0,172.72,L
54,35.0,152.4,S
61,35.0,170.18,L
86,46.0,172.72,XXXL
52,27.0,162.56,S
54,27.0,160.02,S
86,22.0,180.34,XXXL
54,40.0,162.56,S
56,30.0,162.56,S
68,46.0,167.64,XXXL
56,31.0,157.48,S
54,27.0,170.18,S
77,35.0,172.72,XXXL
72,33.0,162.56,XXXL
61,33.0,172.72,L
54,28.0,170.18,S
68,30.0,170.18,L
57,38.0,167.64,S
52,35.0,160.02,S
63,38.0,167.64,XXXL
72,32.0,172.72,XXXL
54,30.0,172.72,S
65,35.0,152.4,L
65,29.0,180.34,L
54,30.0,157.48,S
58,38.0,167.64,S
56,30.0,170.18,S
61,33.0,172.72,L
54,31.0,160.02,S
56,31.0,162.56,S
52,37.0,162.56,S
81,28.0,172.72,XXXL
53,36.0,157.48,S
60,28.0,160.02,L
83,29.0,175.26,XXXL
58,26.0,157.48,S
79,47.0,167.64,XXXL
62,31.0,165.1,L
56,32.0,167.64,S
56,28.0,165.1,S
79,32.0,170.18,XXXL
54,27.0,162.56,S
56,34.0,167.64,S
72,25.0,175.26,XXXL
58,41.0,172.72,S
61,31.0,167.64,XXXL
65,28.0,172.72,S
72,69.0,167.64,XXXL
77,34.0,172.72,XXXL
70,37.0,157.48,XXXL
57,28.0,175.26,S
86,48.0,175.26,XXXL
71,40.0,170.18,XXXL
61,26.0,162.56,L
70,28.0,160.02,XXXL
65,33.0,162.56,XXXL
51,35.0,160.02,S
58,19.0,160.02,L
61,45.0,167.64,XXXL
50,41.0,160.02,S
72,41.0,165.1,L
53,30.0,160.02,S
63,25.0,170.18,L
68,35.0,177.8,XXXL
70,32.0,157.48,XXXL
54,28.0,165.1,S
106,43.0,160.02,XXXL
62,36.0,165.1,L
74,27.0,165.1,XXXL
65,35.0,162.56,S
95,28.0,193.04,XXXL
72,31.0,160.02,XXXL
63,30.0,175.26,S
58,35.0,170.18,S
86,26.0,172.72,XXXL
64,30.0,162.56,XXXL
49,43.0,160.02,S
52,37.0,157.48,S
72,52.0,170.18,XXXL
63,32.0,160.02,L
58,29.0,167.64,L
68,44.0,177.8,L
47,28.0,157.48,S
65,41.0,162.56,L
48,23.0,165.1,S
104,35.0,162.56,XXXL
83,32.0,160.02,XXXL
74,28.0,172.72,XXXL
52,30.0,170.18,S
67,53.0,165.1,XXXL
72,27.0,165.1,XXXL
70,26.0,170.18,XXXL
54,50.0,162.56,S
78,35.0,165.1,XXXL
80,44.0,160.02,XXXL
59,63.0,165.1,L
104,27.0,160.02,XXXL
61,41.0,165.1,L
52,37.0,162.56,S
58,38.0,160.02,L
90,27.0,177.8,XXXL
47,20.0,157.48,S
68,36.0,175.26,L
58,32.0,167.64,S
45,42.0,162.56,S
70,36.0,175.26,L
58,33.0,170.18,S
61,35.0,157.48,XXXL
59,32.0,167.64,S
52,29.0,162.56,S
79,33.0,185.42,XXXL
77,38.0,182.88,XXXL
81,32.0,165.1,XXXL
70,35.0,172.72,XXXL
61,26.0,165.1,L
65,32.0,160.02,XXXL
74,60.0,162.56,XXXL
68,38.0,162.56,XXXL
86,41.0,177.8,XXXL
77,33.0,162.56,XXXL
57,58.0,172.72,S
58,27.0,157.48,L
68,36.0,165.1,XXXL
77,30.0,170.18,XXXL
50,32.0,170.18,S
54,42.0,167.64,S
68,29.0,172.72,L
58,28.0,165.1,S
52,22.0,152.4,S
52,34.0,160.02,S
65,43.0,175.26,L
74,33.0,172.72,XXXL
74,29.0,165.1,XXXL
70,47.0,167.64,XXXL
72,32.0,157.48,XXXL
81,47.0,180.34,XXXL
90,36.0,170.18,XXXL
62,29.0,160.02,L
54,35.0,160.02,S
56,23.0,154.94,S
68,46.0,154.94,XXXL
58,29.0,165.1,S
68,25.0,160.02,XXXL
61,26.0,167.64,L
77,25.0,175.26,XXXL
52,50.0,162.56,S
58,35.0,160.02,L
52,30.0,157.48,S
72,43.0,167.64,XXXL
62,33.0,172.72,S
56,35.0,160.02,S
63,25.0,172.72,L
52,27.0,165.1,S
72,24.0,167.64,XXXL
58,41.0,160.02,S
53,44.0,165.1,S
90,42.0,170.18,XXXL
63,53.0,162.56,XXXL
52,38.0,165.1,S
49,33.0,160.02,S
58,31.0,170.18,S
74,26.0,160.02,XXXL
63,36.0,172.72,L
63,25.0,172.72,L
61,26.0,165.1,L
50,27.0,162.56,S
55,25.0,172.72,S
56,50.0,162.56,S
86,53.0,157.48,XXXL
61,31.0,165.1,L
65,19.0,162.56,L
54,33.0,170.18,L
69,38.0,167.64,XXXL
65,30.0,172.72,L
83,35.0,162.56,XXXL
74,55.0,180.34,XXXL
54,21.0,165.1,S
62,51.0,177.8,L
50,41.0,154.94,S
56,32.0,167.64,S
83,31.0,172.72,XXXL
74,28.0,177.8,XXXL
57,32.0,162.56,S
54,28.0,157.48,S
53,58.0,172.72,S
63,30.0,172.72,L
48,27.0,162.56,S
59,43.0,170.18,L
90,30.0,172.72,XXXL
83,28.0,167.64,XXXL
68,35.0,165.1,XXXL
61,30.0,160.02,L
61,30.0,154.94,L
65,43.0,165.1,L
70,33.0,162.56,XXXL
61,35.0,170.18,L
56,28.0,160.02,S
70,32.0,175.26,L
52,30.0,157.48,S
55,42.0,172.72,L
67,37.0,170.18,L
63,55.0,162.56,XXXL
63,29.0,170.18,L
55,28.0,157.48,S
60,42.0,177.8,L
63,39.0,170.18,L
65,27.0,172.72,L
54,28.0,154.94,L
54,26.0,167.64,S
86,34.0,160.02,XXXL
90,29.0,175.26,XXXL
72,32.0,167.64,XXXL
56,34.0,162.56,S
46,23.0,160.02,S
77,51.0,172.72,XXXL
51,35.0,162.56,S
64,26.0,167.64,L
58,58.0,154.94,L
68,34.0,167.64,XXXL
58,32.0,175.26,S
61,28.0,170.18,S
53,45.0,165.1,S
54,34.0,167.64,S
77,37.0,177.8,XXXL
108,47.0,162.56,XXXL
54,29.0,154.94,S
74,55.0,177.8,XXXL
72,32.0,165.1,XXXL
56,34.0,172.72,S
53,28.0,162.56,S
58,28.0,165.1,L
81,38.0,165.1,XXXL
53,38.0,160.02,S
58,33.0,175.26,S
77,46.0,170.18,XXXL
52,28.0,154.94,S
70,34.0,175.26,XXXL
65,28.0,167.64,L
58,37.0,165.1,XXXL
56,36.0,162.56,S
88,40.0,162.56,XXXL
49,39.0,165.1,S
52,24.0,154.94,S
66,39.0,175.26,L
56,36.0,172.72,S
104,39.0,162.56,XXXL
63,37.0,165.1,L
72,31.0,162.56,XXXL
54,37.0,177.8,S
56,24.0,162.56,L
61,26.0,177.8,S
63,39.0,172.72,L
70,28.0,182.88,L
77,27.0,157.48,XXXL
77,30.0,180.34,XXXL
61,54.0,170.18,L
70,30.0,167.64,L
90,28.0,170.18,XXXL
79,33.0,160.02,XXXL
79,55.0,177.8,XXXL
61,30.0,162.56,L
58,37.0,170.18,S
68,62.0,167.64,XXXL
53,30.0,172.72,S
70,29.0,170.18,XXXL
56,50.0,165.1,S
52,22.0,170.18,S
56,36.0,160.02,S
61,35.0,152.4,L
95,24.0,175.26,XXXL
52,34.0,157.48,S
54,37.0,157.48,S
65,33.0,162.56,L
74,31.0,162.56,XXXL
54,58.0,167.64,S
55,26.0,170.18,S
63,42.0,165.1,L
45,22.0,149.86,S
56,17.0,177.8,S
62,30.0,170.18,L
53,42.0,170.18,S
65,37.0,172.72,L
79,36.0,162.56,XXXL
61,31.0,157.48,L
61,40.0,170.18,L
63,35.0,175.26,L
51,31.0,162.56,S
57,32.0,162.56,S
62,40.0,170.18,L
62,26.0,170.18,L
67,33.0,154.94,L
63,23.0,180.34,L
56,30.0,165.1,S
68,33.0,172.72,L
74,41.0,175.26,XXXL
64,37.0,167.64,L
46,52.0,160.02,S
68,34.0,167.64,XXXL
55,29.0,170.18,S
56,35.0,167.64,S
52,42.0,157.48,S
58,42.0,160.02,L
58,33.0,157.48,L
61,34.0,157.48,L
68,24.0,175.26,XXXL
72,34.0,160.02,XXXL
58,34.0,170.18,S
63,36.0,167.64,L
63,34.0,172.72,L
48,31.0,160.02,S
74,39.0,172.72,XXXL
53,29.0,165.1,S
61,37.0,172.72,L
55,33.0,157.48,L
59,32.0,162.56,S
52,22.0,172.72,S
49,32.0,160.02,S
51,29.0,157.48,S
81,31.0,157.48,XXXL
55,25.0,167.64,S
54,29.0,152.4,S
54,32.0,172.72,S
52,26.0,154.94,S
70,37.0,167.64,XXXL
60,32.0,167.64,S
73,42.0,167.64,XXXL
68,31.0,160.02,XXXL
61,44.0,162.56,L
54,32.0,165.1,S
63,29.0,165.1,L
58,56.0,165.1,XXXL
63,45.0,170.18,XXXL
61,28.0,172.72,S
61,27.0,167.64,S
67,43.0,167.64,XXXL
65,38.0,162.56,L
63,32.0,162.56,L
61,30.0,172.72,S
63,28.0,162.56,S
63,40.0,162.56,L
56,34.0,170.18,S
77,34.0,172.72,XXXL
58,22.0,157.48,L
61,28.0,167.64,L
56,30.0,172.72,S
52,47.0,160.02,S
54,39.0,167.64,S
70,38.0,172.72,XXXL
58,54.0,170.18,L
63,60.0,165.1,XXXL
66,24.0,170.18,XXXL
65,18.0,175.26,L
51,50.0,167.64,S
54,34.0,167.64,S
77,32.0,170.18,XXXL
52,25.0,165.1,S
67,31.0,167.64,XXXL
58,52.0,165.1,L
56,36.0,165.1,S
102,31.0,167.64,XXXL
56,26.0,162.56,S
58,36.0,165.1,L
72,46.0,175.26,XXXL
53,43.0,160.02,S
56,32.0,165.1,S
81,25.0,165.1,XXXL
72,29.0,170.18,L
58,30.0,157.48,XXXL
54,32.0,160.02,S
58,58.0,165.1,L
52,32.0,162.56,S
97,44.0,162.56,XXXL
53,31.0,154.94,S
48,43.0,165.1,S
97,30.0,167.64,XXXL
47,30.0,154.94,S
51,26.0,160.02,S
74,36.0,172.72,XXXL
59,33.0,177.8,S
58,35.0,170.18,S
56,23.0,162.56,L
70,34.0,162.56,XXXL
79,33.0,165.1,XXXL
68,25.0,170.18,L
52,36.0,167.64,S
48,40.0,154.94,S
54,42.0,137.16,S
70,57.0,162.56,XXXL
56,36.0,165.1,S
45,35.0,160.02,S
82,31.0,165.1,XXXL
63,38.0,152.4,XXXL
58,36.0,157.48,L
68,62.0,170.18,XXXL
61,30.0,167.64,L
65,33.0,175.26,L
56,29.0,162.56,S
54,45.0,162.56,S
61,32.0,160.02,L
61,36.0,167.64,L
86,34.0,165.1,XXXL
52,36.0,162.56,S
54,31.0,175.26,S
56,33.0,152.4,S
68,22.0,180.34,L
58,34.0,154.94,S
54,50.0,157.48,S
113,32.0,177.8,XXXL
63,35.0,160.02,XXXL
77,28.0,180.34,L
47,26.0,157.48,S
63,29.0,175.26,XXXL
61,27.0,157.48,L
90,63.0,157.48,XXXL
83,28.0,185.42,XXXL
49,34.0,175.26,S
61,17.0,170.18,L
52,39.0,152.4,S
58,58.0,170.18,S
49,37.0,160.02,S
61,48.0,170.18,L
56,36.0,170.18,S
56,39.0,175.26,L
52,38.0,162.56,S
58,34.0,160.02,S
57,33.0,167.64,S
56,24.0,162.56,S
54,40.0,162.56,S
77,43.0,175.26,XXXL
57,34.0,165.1,S
106,30.0,170.18,XXXL
49,26.0,165.1,S
83,41.0,167.64,XXXL
54,42.0,170.18,S
58,55.0,167.64,S
102,50.0,182.88,XXXL
79,39.0,167.64,XXXL
72,33.0,172.72,L
90,29.0,170.18,XXXL
58,33.0,170.18,S
72,36.0,172.72,XXXL
72,35.0,175.26,XXXL
51,50.0,162.56,S
58,42.0,175.26,S
65,60.0,160.02,XXXL
56,26.0,172.72,S
50,32.0,157.48,S
79,31.0,172.72,XXXL
56,34.0,165.1,S
58,30.0,162.56,S
56,35.0,172.72,S
70,32.0,160.02,XXXL
56,31.0,162.56,L
64,37.0,177.8,L
65,34.0,157.48,XXXL
67,43.0,170.18,XXXL
63,40.0,160.02,L
54,26.0,165.1,S
61,32.0,162.56,XXXL
68,26.0,172.72,L
65,29.0,165.1,XXXL
62,31.0,160.02,L
56,31.0,162.56,L
56,39.0,165.1,S
77,33.0,172.72,XXXL
77,35.0,175.26,XXXL
83,32.0,172.72,XXXL
63,36.0,162.56,L
49,39.0,157.48,S
52,32.0,165.1,S
86,26.0,170.18,XXXL
61,37.0,157.48,L
47,39.0,162.56,S
51,27.0,165.1,S
50,54.0,170.18,S
54,29.0,157.48,S
49,18.0,167.64,S
56,65.0,165.1,S
77,43.0,172.72,XXXL
58,34.0,160.02,L
68,38.0,180.34,XXXL
63,32.0,170.18,L
52,42.0,162.56,S
56,33.0,172.72,L
74,35.0,170.18,XXXL
61,26.0,175.26,L
54,44.0,165.1,S
72,41.0,162.56,XXXL
68,34.0,167.64,XXXL
54,26.0,157.48,S
63,28.0,167.64,L
68,34.0,167.64,L
48,29.0,157.48,S
65,24.0,157.48,L
61,36.0,162.56,L
65,35.0,162.56,L
51,23.0,154.94,S
72,35.0,160.02,XXXL
68,33.0,172.72,L
77,31.0,172.72,XXXL
54,28.0,154.94,S
54,28.0,160.02,S
81,29.0,180.34,XXXL
63,46.0,167.64,L
115,33.0,160.02,XXXL
